strike,expiry,moneyness,time_to_expiry,bid,ask,impliedVolatility,openInterest,volume,option_type
7130.0,2026-07-08,0.9501788957947044,-0.0027397260273972603,330.4,332.3,1.0000000000000003e-05,1.0,,call
7150.0,2026-07-08,0.9528441942401313,-0.0027397260273972603,310.4,312.3,1.0000000000000003e-05,3.0,1.0,call
7160.0,2026-07-08,0.9541768434628447,-0.0027397260273972603,300.4,302.2,1.0000000000000003e-05,3.0,1.0,call
7170.0,2026-07-08,0.9555094926855582,-0.0027397260273972603,289.0,290.9,1.0000000000000003e-05,1.0,,call
7175.0,2026-07-08,0.9561758172969149,-0.0027397260273972603,284.4,286.2,1.0000000000000003e-05,4.0,1.0,call
7180.0,2026-07-08,0.9568421419082717,-0.0027397260273972603,279.0,281.0,1.0000000000000003e-05,1.0,3.0,call
7185.0,2026-07-08,0.9575084665196284,-0.0027397260273972603,273.9,276.0,1.0000000000000003e-05,1.0,1.0,call
7190.0,2026-07-08,0.9581747911309851,-0.0027397260273972603,268.9,271.0,1.0000000000000003e-05,5.0,4.0,call
7195.0,2026-07-08,0.9588411157423419,-0.0027397260273972603,265.1,267.0,1.0000000000000003e-05,2.0,2.0,call
7200.0,2026-07-08,0.9595074403536986,-0.0027397260273972603,259.4,261.3,1.0000000000000003e-05,15.0,3.0,call
7210.0,2026-07-08,0.9608400895764121,-0.0027397260273972603,249.0,251.0,1.0000000000000003e-05,2.0,1.0,call
7215.0,2026-07-08,0.9615064141877688,-0.0027397260273972603,244.0,246.0,1.0000000000000003e-05,5.0,5.0,call
7220.0,2026-07-08,0.9621727387991256,-0.0027397260273972603,239.4,241.3,1.0000000000000003e-05,34.0,2.0,call
7225.0,2026-07-08,0.9628390634104823,-0.0027397260273972603,234.4,236.5,1.0000000000000003e-05,2.0,2.0,call
7230.0,2026-07-08,0.963505388021839,-0.0027397260273972603,229.4,231.5,1.0000000000000003e-05,10.0,4.0,call
7235.0,2026-07-08,0.9641717126331958,-0.0027397260273972603,224.0,226.1,1.0000000000000003e-05,28.0,,call
7240.0,2026-07-08,0.9648380372445525,-0.0027397260273972603,218.8,220.9,1.0000000000000003e-05,1.0,1.0,call
7245.0,2026-07-08,0.9655043618559093,-0.0027397260273972603,214.0,216.1,1.0000000000000003e-05,5.0,1.0,call
7250.0,2026-07-08,0.966170686467266,-0.0027397260273972603,209.1,211.1,1.0000000000000003e-05,11.0,8.0,call
7255.0,2026-07-08,0.9668370110786227,-0.0027397260273972603,204.4,206.3,1.0000000000000003e-05,2.0,,call
7260.0,2026-07-08,0.9675033356899795,-0.0027397260273972603,199.5,201.4,1.0000000000000003e-05,9.0,3.0,call
7265.0,2026-07-08,0.9681696603013362,-0.0027397260273972603,194.4,196.4,1.0000000000000003e-05,4.0,4.0,call
7270.0,2026-07-08,0.968835984912693,-0.0027397260273972603,189.3,191.4,1.0000000000000003e-05,31.0,1.0,call
7275.0,2026-07-08,0.9695023095240497,-0.0027397260273972603,184.5,186.6,1.0000000000000003e-05,5.0,3.0,call
7280.0,2026-07-08,0.9701686341354064,-0.0027397260273972603,179.1,181.0,1.0000000000000003e-05,11.0,5.0,call
7285.0,2026-07-08,0.9708349587467632,-0.0027397260273972603,174.5,176.4,1.0000000000000003e-05,2.0,1.0,call
7290.0,2026-07-08,0.9715012833581199,-0.0027397260273972603,169.5,171.5,1.0000000000000003e-05,14.0,1.0,call
7295.0,2026-07-08,0.9721676079694767,-0.0027397260273972603,164.2,166.2,1.0000000000000003e-05,17.0,4.0,call
7300.0,2026-07-08,0.9728339325808334,-0.0027397260273972603,160.6,162.5,1.0000000000000003e-05,128.0,58.0,call
7305.0,2026-07-08,0.97350025719219,-0.0027397260273972603,154.7,156.6,1.0000000000000003e-05,37.0,7.0,call
7310.0,2026-07-08,0.9741665818035468,-0.0027397260273972603,149.7,151.8,1.0000000000000003e-05,37.0,1.0,call
